Clause,PreprocessedText
"LOAN AGREEMENT This Loan Agreement (“Agreement”) is entered into at Bhopal (“Effective Place”) on this ,  (“Effective Date”); BY AND BETWEEN Vishalya Foods and Farms Private Limited, a startup company duly incorporated under the provisions of Companies Act,  having CIN No.",loan agreement loan agreement agreement entered bhopal effective place effective date vishalya food farm private limited startup company duly incorporated provision company act cin
" UMPPTC, and its registered office situated at House No.",umpptc registered office situated house
" , Paras Majestic, Near Aura Mall, Trilanga Colony, Bhopal, Madhya Pradesh -  India, (hereinafter, referred to as the “Borrower” or “Company”); AND , s/d of  resident of  having Aadhaar Number  and , s/d of  resident of  having Aadhaar Number , which expression shall, unless repugnant to the context or meaning thereof, be deemed to include their successors, legal heirs and permitted assigns (hereinafter, referred to as the “Lender”); (The Lender and the Borrower are hereinafter collectively referred to as “Parties” and severally as “Party”) WHEREAS: The Borrower is engaged in the business of agriculture.",para majestic near aura mall trilanga colony bhopal madhya pradesh india hereinafter referred borrower company sd resident aadhaar number sd resident aadhaar number expression shall unless repugnant context meaning thereof deemed include successor legal heir permitted assigns hereinafter referred lender lender borrower hereinafter collectively referred party severally party whereas borrower engaged business agriculture
 (“Business”).,business
"  The Lender has agreed to tender loan of principal sum of INR ,,/- (Rupees Twenty Lakhs) (“Loan Amount”) to the Borrower.",lender agreed tender loan principal sum inr rupee twenty lakh loan amount borrower
"  Accordingly, the Parties are entering into this Agreement for the purpose of recording the terms under which the Loan Amount shall be given by the Lender to the Borrower.",accordingly party entering agreement purpose recording term loan amount shall given lender borrower
"  NOW, THEREFORE, THE PARTIES AGREE AS UNDER: Definitions & Interpretation Definitions In this Agreement, unless repugnant or contrary to the context hereof, the following terms, when capitalised (and their cognate expressions), shall have the meanings assigned herein: “Act” means the Companies Act,  or the Companies Act,  as applicable, amended, substituted or replaced, from time to time; “Agreement” means this loan & pledge agreement, including all schedules and annexures attached hereto, and any subsequent written modifications agreed to by and between the Parties in terms hereof; “Applicable Law(s)” means all applicable laws, bye-laws, statutes, rules, regulations, orders, ordinances, notifications, protocols, treaties, codes, guidelines, policies, notices, directions, judgments, decrees or other requirements or official directives of any Governmental Authority or third party acting under the authority of any Governmental Authority and/ or of any statutory authority in India whether in effect on the date of execution of this Agreement or thereafter; “Approvals” means permissions, consents, validations, notice, filings, confirmations, approvals, waiver, permits, grant, concession, certificate, exemption order or registration, licenses, and other authorizations required to be obtained by a Person, as per the provisions the constitutional documents of such Person and/ or under Applicable Laws; “Borrower’s Bank Account” means the bank account of the Borrower, bearing account number  and held with  Bank,  branch having IFSC Code ; “Business Day” means any day of the week on which commercial banks are open for business in Bhopal, India.",therefore party agree definition interpretation definition agreement unless repugnant contrary context hereof following term capitalised cognate expression shall meaning assigned herein act mean company act company act applicable amended substituted replaced time time agreement mean loan pledge agreement including schedule annexures attached hereto subsequent written modification agreed party term hereof applicable law mean applicable law byelaws statute rule regulation order ordinance notification protocol treaty code guideline policy notice direction judgment decree requirement official directive governmental authority third party acting authority governmental authority statutory authority india whether effect date execution agreement thereafter approval mean permission consent validation notice filing confirmation approval waiver permit grant concession certificate exemption order registration license authorization required obtained person per provision constitutional document person applicable law borrower bank account mean bank account borrower bearing account number held bank branch ifsc code business day mean day week commercial bank open business bhopal india
" “Encumbrance” shall mean any and all third party rights, title or interests, including but not limiting those created by or in the nature of a mortgage, pledge, hypothecation, charge, security, lien, benefit, tenancy, gift, surety, attachment, stay, decree, or any other court order, injunction, agreement to sell, conveyance deed or any other interest or right whatsoever, whether existing or created or purporting to exist or created, and whether present, future or contingent; “Effective Date” shall mean the date on which all the Parties have signed this Agreement; “Effective Place” shall mean the place at which all the Parties have signed this Agreement;  “Governmental Authority” means any government authority, statutory authority, government department, ministry, secretariat, agency, commission, board, tribunal, court or other rule or regulation making body/ entity having or purporting to have jurisdiction on behalf of the Republic of India or any other government having or purporting to have jurisdiction over a Party, or any state or other subdivision thereof or any municipality, district or other subdivision thereof including, without limitation, the Ministry of Corporate Affairs and Reserve Bank of India; “INR” or “Rupees” means Indian Rupees, the lawful currency of the Republic of India; “Obligations” means, collectively, (i) all loans, liabilities and obligations, howsoever arising, owed by the Borrower to the Lender, of every kind and description, including all interest, fees, charges, expenses, attorneys’ fees and consultants’ fees (all the said expenses) chargeable to Borrower; “Person” means any individual, sole proprietorship, unincorporated association, body corporate, corporation, company, partnership, limited liability partnership, limited liability company, joint venture, Governmental Authority or trust or any other entity or organization; Interpretation In this Agreement, unless the context otherwise requires: The recitals shall form an integral and operative part of the Agreement; Reference herein to any Clause or Schedule is to such clause or schedule of this Agreement unless the context otherwise requires.",encumbrance shall mean third party right title interest including limiting created nature mortgage pledge hypothecation charge security lien benefit tenancy gift surety attachment stay decree court order injunction agreement sell conveyance deed interest right whatsoever whether existing created purporting exist created whether present future contingent effective date shall mean date party signed agreement effective place shall mean place party signed agreement governmental authority mean government authority statutory authority government department ministry secretariat agency commission board tribunal court rule regulation making body entity purporting jurisdiction behalf republic india government purporting jurisdiction party state subdivision thereof municipality district subdivision thereof including without limitation ministry corporate affair reserve bank india inr rupee mean indian rupee lawful currency republic india obligation mean collectively loan liability obligation howsoever arising owed borrower lender every kind description including interest fee charge expense attorney fee consultant fee said expense chargeable borrower person mean individual sole proprietorship unincorporated association body corporate corporation company partnership limited liability partnership limited liability company joint venture governmental authority trust entity organization interpretation agreement unless context otherwise requires recital shall form integral operative part agreement reference herein clause schedule clause schedule agreement unless context otherwise requires
 The Schedules to this Agreement shall be deemed to form part of this Agreement.,schedule agreement shall deemed form part agreement
 The headings or interpretation are inserted for convenience only and shall not affect the construction of this Agreement.,heading interpretation inserted convenience shall affect construction agreement
" Unless the context otherwise requires, words importing the singular include the plural and vice versa, and pronouns importing a gender include each of the masculine, feminine and neuter genders.",unless context otherwise requires word importing singular include plural vice versa pronoun importing gender include masculine feminine neuter gender
 Reference to statutory provisions shall include any amendment or re-enactment (whether before or after the date of this Agreement) for the time being in force and to all statutory instruments or orders made pursuant to such statutory provisions.,reference statutory provision shall include amendment reenactment whether date agreement time force statutory instrument order made pursuant statutory provision
 Reference to the word “include” shall be construed without limitation.,reference word include shall construed without limitation
 Time is of the essence in the performance of the Parties' respective obligations.,time essence performance party respective obligation
" The words “directly or indirectly” mean directly or indirectly through one or more intermediary persons or through contractual or other legal arrangements, and “direct or indirect” shall have the correlative meanings.",word directly indirectly mean directly indirectly one intermediary person contractual legal arrangement direct indirect shall correlative meaning
" No provisions of this Agreement shall be interpreted in favour of, or against, any Party by reason of the extent to which such Party or its counsel participated in the drafting hereof or by reason of the extent to which any such provision is inconsistent with any prior draft hereof.",provision agreement shall interpreted favour party reason extent party counsel participated drafting hereof reason extent provision inconsistent prior draft hereof
 Loan amount and interest The Lender shall extend the Loan Amount to the Borrower.,loan amount interest lender shall extend loan amount borrower
  Interest: The Borrower shall pay to the Lender simple interest (“Interest”) on the Loan Amount at a rate equal to % per annum.,interest borrower shall pay lender simple interest interest loan amount rate equal per annum
  maturity The Maturity Date shall be  months from the date of disbursement of Loan Amount.,maturity maturity date shall month date disbursement loan amount
"   On the Maturity Date, the Lender shall decide whether they want the Loan Amount along with Interest (“Maturity Amount”) to be repaid or whether they would want the Maturity Amount or part of Maturity Amount to be converted into equity shares of the Borrower.",maturity date lender shall decide whether want loan amount along interest maturity amount repaid whether would want maturity amount part maturity amount converted equity share borrower
 The Interest shall be payable only on the portion of Loan Amount which is not converted into equity shares.,interest shall payable portion loan amount converted equity share
"   In case of conversion into equity shares, the conversion shall happen at the valuation of Borrower to be Rs.",case conversion equity share conversion shall happen valuation borrower r
",,,/- (Rupees Five Crores).",rupee five crore
"  In case the Lender does not convert the entire or any of the Maturity Amount into equity, the repayment shall happen in instalments to be mutually decided by the Parties.",case lender convert entire maturity amount equity repayment shall happen instalment mutually decided party
  Time is of essence in the Agreement and the Maturity Date is non-extendible.,time essence agreement maturity date nonextendible
" However, at the written request of the Borrower, the Lender may, in its sole discretion, extend the Maturity Date on such terms and conditions as it may deem fit.",however written request borrower lender may sole discretion extend maturity date term condition may deem fit
"  Representations AND Warranties by the Borrower  The Borrower makes the following representations, warranties and undertakings which shall survive the execution and delivery of this Agreement: Standing: The Borrower is a private limited company duly formed, validly existing and in good standing under the laws of India.",representation warranty borrower borrower make following representation warranty undertaking shall survive execution delivery agreement standing borrower private limited company duly formed validly existing good standing law india
 The Borrower has the requisite power and authority to carry on the Business as it is currently being conducted and proposed to be conducted.,borrower requisite power authority carry business currently conducted proposed conducted
  Requisite Authority: The Borrower has all requisite power and authority to enter into the Agreement.,requisite authority borrower requisite power authority enter agreement
